Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,264,11,6
400k,330,2,12
600k,253,1,18
800k,235,2,24
1000k,206,2,30
1200k,283,2,36
1400k,229,1,42
1600k,225,1,48
1800k,196,2,54
2000k,196,2,60
2200k,200,2,66
2400k,201,2,72
2600k,195,2,78
2800k,192,2,84
3000k,200,2,90
3200k,211,2,96
3400k,196,2,102
3600k,201,2,108
3800k,208,2,114
4000k,213,2,120
4200k,195,1,126
4400k,192,2,132
4600k,202,2,138
4800k,202,2,144
5000k,192,2,150
5200k,196,2,156
5400k,202,2,162
5600k,197,2,168
5800k,201,1,174
6000k,193,2,181
6200k,219,2,187
6400k,199,2,193
6600k,191,2,199
6800k,220,1,205
7000k,223,1,211
7200k,225,1,217
7400k,236,2,223
7600k,274,4,229
7800k,301,2,235
8000k,250,1,241
8200k,325,2,247
8400k,225,2,253
8600k,197,2,259
8800k,205,2,265
9000k,205,2,271
9200k,271,2,277
9400k,217,2,283
9600k,212,2,289
9800k,246,2,295
10000k,289,2,301
10200k,228,2,307
10400k,205,2,313
10600k,220,2,319
10800k,205,2,325
11000k,227,2,331
11200k,204,2,337
11400k,201,2,343
11600k,196,2,349
11800k,190,2,355
12000k,207,2,361
12200k,199,2,367
12400k,200,2,373
12600k,192,2,379
12800k,198,2,385
13000k,215,2,391
13200k,195,2,397
13400k,196,2,403
13600k,194,2,409
13800k,192,2,415
14000k,196,2,421
14200k,197,2,427
14400k,190,1,433
14600k,204,2,439
14800k,208,2,445
15000k,242,2,451
15200k,204,1,457
15400k,203,2,463
15600k,201,2,469
15800k,208,2,475
16000k,189,2,481
16200k,202,2,487
16400k,195,2,493
16600k,200,2,499
16800k,191,2,505
17000k,199,2,511
17200k,202,2,517
17400k,197,2,523
17600k,204,2,529
17800k,193,2,535
18000k,200,2,541
18200k,200,2,547
18400k,200,2,554
18600k,194,2,560
18800k,208,2,566
19000k,207,2,572
19200k,203,2,578
19400k,215,2,584
19600k,291,2,590
19800k,216,1,596
20000k,226,2,602
