Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,1022,23,8
400k,1026,31,15
600k,936,23,22
800k,1083,32,29
1000k,895,24,36
1200k,1222,30,44
1400k,833,24,51
1600k,862,24,58
1800k,984,39,65
2000k,939,25,72
2200k,1085,32,79
2400k,1172,26,86
2600k,1096,26,93
2800k,824,23,100
3000k,886,28,107
3200k,816,24,114
3400k,816,23,121
3600k,854,28,129
3800k,1033,26,136
4000k,1084,41,143
4200k,929,19,150
4400k,1235,20,157
4600k,804,19,164
4800k,828,22,171
5000k,821,19,178
5200k,824,19,185
5400k,831,20,192
5600k,1064,28,199
5800k,849,20,207
6000k,847,19,214
6200k,842,20,221
6400k,1111,24,228
6600k,835,20,235
6800k,832,20,242
7000k,1074,22,249
7200k,820,19,256
7400k,808,19,263
7600k,816,21,270
7800k,1098,22,277
8000k,900,20,284
8200k,846,20,292
8400k,844,26,299
8600k,1057,22,307
8800k,818,22,314
9000k,806,15,321
9200k,841,17,328
9400k,1040,17,335
9600k,821,15,342
9800k,812,16,349
10000k,827,15,356
10200k,1062,17,363
10400k,824,15,371
10600k,842,17,378
10800k,1039,16,385
11000k,813,15,392
11200k,829,15,399
11400k,837,17,406
11600k,1088,16,413
11800k,827,17,420
12000k,970,24,427
12200k,852,18,434
12400k,858,17,441
12600k,1087,25,448
12800k,993,16,456
13000k,1210,18,463
13200k,848,15,470
13400k,842,16,477
13600k,848,16,484
13800k,823,16,491
14000k,897,15,498
14200k,1146,20,505
14400k,881,17,512
14600k,804,16,519
14800k,826,18,526
15000k,1137,18,534
15200k,800,17,541
15400k,793,15,548
15600k,813,16,555
15800k,817,16,562
16000k,1096,18,569
16200k,814,16,576
16400k,796,16,583
16600k,821,15,590
16800k,1132,18,597
17000k,816,17,604
17200k,846,16,611
17400k,855,17,619
17600k,1090,18,626
17800k,831,16,633
18000k,813,16,640
18200k,816,16,647
18400k,809,15,654
18600k,1143,18,661
18800k,859,16,668
19000k,844,16,675
19200k,870,21,682
19400k,890,16,689
19600k,1301,25,697
19800k,870,16,704
20000k,1145,17,711
